"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment","SpeedingFlag","HitAndRunFlag","IntersectionNumber","AStreetName","BStreetName","Latitude","Longitude"
"699433","CR-0000100802","0","0","0","0","23-202-9702","False","True","51","7/14/2023 12:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","Unknown","","False","False","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"696333","CR-0000099489","0","1","0","0","23-296-0622","False","False","0","10/23/2023 3:37:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"696049","CR-0000099184","0","0","0","0","23-033-9702","False","True","","1/27/2023 6:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Unknown","No Controls Present/Factor","Clear","Sideswipe","Related","Parked Vehicle","Not Applicable","Not Applicable","Unknown","","False","False","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"694525","CR-0000098519","1","0","0","0","23-193-0894","False","False","286","7/12/2023 11:05:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","False","False","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"694502","CR-0000098496","0","1","0","0","23-179-0513","False","False","220","6/28/2023 2:53:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of","","False","False","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"692378","CR-0000097660","0","0","0","0","23-066-0887","False","False","0","3/7/2023 11:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Intersection","Parked Vehicle","Not Applicable","Not Applicable","At","","False","False","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"692497","CR-0000097785","2","1","0","0","23-074-0438","False","False","180","3/15/2023 12:28:00 PM","No Pedestrians Involved","Dry","Unknown","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of","","False","False","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"689309","CR-0000095269","0","0","0","0","22-353-4004","False","False","51","11/1/2022 9:50:00 PM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","No Controls Present/Factor","Unknown","Other","Non-Related","Non-Collision","Not Applicable","Not Applicable","South Of","","False","False","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"722566","CR-0000103916","0","1","0","0","24-110-0168","False","False","204","4/19/2024 8:12:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Bike At Fault","No Controls Present/Factor","Clear","Vehicle/Bike","Non-Related","Bike","Not Applicable","Not Applicable","South Of","BIKE","False","False","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"725425","CR-0000104921","0","0","0","0","24-172-0031","False","False","222","6/20/2024 12:47:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of","","False","True","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
"692404","CR-0000097687","0","0","0","0","23-080-0128","True","False","0","3/21/2023 7:12:00 AM","No Pedestrians Involved","Wet","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","No Controls Present/Factor","Rain","Hit Object","Intersection","Fixed Object","Not Applicable","Not Applicable","At","LIGHT POLE","True","True","54450","EDISON DR","ROUGH AND READY RD","37.37238494","-121.8416754"
"689555","CR-0000095532","1","0","0","0","22-365-0148","False","False","54","12/31/2022 3:45:00 AM","No Pedestrians Involved","Wet","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Rain","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","","True","False","5862","ALTA MIRA PL","ROSS AV","37.26856202","-121.9200522"
"681298","CR-0000090684","0","0","0","0","22-012-4004","False","True","","1/10/2022 11:42:00 PM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Sideswipe","Related","Parked Vehicle","Not Applicable","Not Applicable","Unknown","","False","False","64602","GARDENDALE DR","REDCLIFF DR","37.27500945","-121.8829122"
"725451","CR-0000104947","0","0","0","0","24-140-4002","False","True","51","5/19/2024 1:05:00 AM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of","","False","False","41260","COLDWATER DR","HAYWORTH DR","37.34521345","-121.8037785"
